,DM_POP_TOT,DM_POP_U5,DM_POP_U18,DM_POP_ADLCNT,DM_POP_15TO24,DM_POP_CHILD_PROP,DM_POP_ADLCNT_PROP,DM_POP_GRT,DM_BRTS,DM_FRATE_TOT,DM_LIFE_EXP,DM_BRTS_SURVIVING_1,DM_NET_MG_RATE
1950,358903.761,32764.727,107240.719,57768.853,57332.757,29.877,16.095,0.723,7129.271,2.583,65.2835,6804.571,-1.582
1951,361308.221,33197.811,107788.292,57527.381,57163.784,29.832,15.922,0.613,6980.451,2.5296,65.3218,6671.751,-1.829
1952,363668.091,33187.717,108351.654,57160.896,56918.191,29.794,15.717,0.689,6941.42,2.5181,66.4406,6646.508,-1.443
1953,366348.571,33064.351,108899.76,56959.667,56723.687,29.725,15.548,0.78,6894.847,2.5011,66.9331,6619.52,-0.236
1954,369150.61,32936.961,109543.093,56926.976,56611.781,29.672,15.42,0.744,6930.41,2.5125,67.6546,6666.518,-0.869
1955,371935.472,32903.787,110299.25,56737.471,56513.691,29.656,15.254,0.759,6972.791,2.5292,67.9141,6715.974,-0.666
1956,374652.846,33014.62,111096.869,56796.367,56332.339,29.655,15.16,0.697,7017.241,2.5441,68.003,6769.623,-1.005
1957,377601.308,33256.916,112049.7,57499.844,56020.298,29.674,15.228,0.87,7114.472,2.5784,68.1591,6867.129,0.515
1958,380882.981,33539.713,113085.674,58455.257,55953.73,29.691,15.347,0.861,7087.171,2.5702,69.057,6851.839,0.22
1959,384105.575,33770.833,114172.774,59304.834,56164.631,29.722,15.44,0.824,7176.119,2.5995,69.2846,6946.143,-0.207
1960,387244.118,33946.173,115457.998,60050.103,56210.127,29.814,15.507,0.803,7167.868,2.5961,69.5294,6949.558,-0.123
1961,390425.439,34115.488,116657.804,60812.196,56383.735,29.88,15.576,0.833,7258.911,2.6282,69.9197,7045.78,-0.114
1962,393751.009,34338.804,117798.519,61746.398,57122.325,29.915,15.682,0.863,7238.517,2.6233,69.8237,7034.877,0.79
1963,397128.922,34649.756,119222.442,62647.089,58112.352,30.022,15.775,0.845,7371.409,2.6682,69.9476,7171.223,0.496
1964,400494.308,35051.607,120527.504,63406.888,58929.02,30.095,15.832,0.842,7459.573,2.697,70.6321,7268.805,-0.071
1965,403809.368,35372.16,121192.849,64314.266,59506.281,30.013,15.927,0.806,7318.28,2.6422,70.6642,7141.39,0.33
1966,406994.972,35541.916,121671.32,65090.578,60283.315,29.895,15.993,0.765,7234.18,2.6063,70.9094,7063.438,0.194
1967,409809.406,35534.921,122032.257,65337.382,61215.786,29.779,15.944,0.613,7119.876,2.5385,71.1157,6959.369,-0.945
1968,412414.812,35315.708,122318.038,65467.579,62136.601,29.661,15.876,0.654,6958.955,2.4719,70.9472,6805.484,0.365
1969,415137.363,34858.491,122578.976,65743.02,63059.243,29.527,15.836,0.662,6887.523,2.4148,70.8195,6738.015,0.875
1970,417428.148,34220.222,122607.258,66099.319,64010.986,29.371,15.835,0.439,6738.051,2.3427,71.2184,6595.708,-1.118
1971,419814.08,33686.912,122709.848,66622.925,64904.054,29.23,15.868,0.7,6729.816,2.3173,71.3894,6592.336,1.598
1972,422645.666,33272.24,122832.409,67205.063,65400.626,29.061,15.901,0.645,6544.719,2.2225,71.6711,6420.112,1.514
1973,425237.661,32786.167,122708.226,67833.686,65733.303,28.855,15.952,0.578,6380.637,2.1366,71.813,6261.904,1.399
1974,427470.508,32284.512,122394.083,68548.617,66071.277,28.632,16.036,0.469,6341.87,2.0958,72.0612,6228.062,0.404
1975,429229.461,31778.962,121888.832,69158.053,66410.557,28.396,16.112,0.352,6183.315,2.0195,72.1304,6078.191,-0.193
1976,430806.922,31199.381,121216.693,69611.926,66819.385,28.136,16.157,0.382,6109.4,1.9763,72.3239,6011.328,0.329
1977,432496.627,30625.185,120433.545,69948.936,67327.049,27.847,16.175,0.401,6025.373,1.9304,72.7739,5935.285,0.491
1978,434206.53,30165.193,119529.216,70155.41,67934.796,27.525,16.156,0.388,5975.5,1.8965,72.8458,5890.588,0.66
1979,436003.138,29818.156,118584.788,70234.638,68690.187,27.198,16.11,0.438,5985.438,1.8827,73.1019,5905.027,1.128
1980,438054.779,29631.342,117748.839,70194.385,69467.889,26.878,16.024,0.501,6007.914,1.8723,73.2468,5931.44,1.832
1981,439883.304,29506.219,116704.113,69993.959,70085.874,26.532,15.912,0.333,5887.301,1.8163,73.4986,5816.425,0.442
1982,441199.648,29348.171,115258.136,69547.392,70416.159,26.125,15.763,0.265,5849.626,1.7893,73.8166,5781.982,-0.227
1983,442316.394,29164.726,113705.402,68785.551,70532.174,25.706,15.552,0.241,5711.471,1.7337,73.8463,5648.448,0.066
1984,443390.407,28888.218,112155.906,67775.213,70489.998,25.299,15.286,0.245,5654.448,1.7036,74.2246,5595.231,0.057
1985,444542.416,28530.01,110735.689,66713.683,70303.907,24.91,15.006,0.274,5614.634,1.6801,74.2708,5558.628,0.685
1986,445804.986,28203.68,109464.669,65671.219,70034.594,24.554,14.73,0.293,5585.993,1.6606,74.5306,5532.354,0.868
1987,447102.097,27933.183,108208.498,64637.277,69601.447,24.202,14.457,0.288,5564.61,1.6455,74.8999,5513.413,0.668
1988,448559.061,27711.234,107159.879,63775.801,68869.082,23.888,14.217,0.362,5603.734,1.6522,75.0677,5554.723,1.375
1989,450280.246,27597.325,106275.795,63064.589,68043.144,23.602,14.006,0.404,5538.204,1.626,75.1993,5492.187,2.024
1990,452113.864,27543.373,105402.273,62428.482,67253,23.313,13.807,0.409,5591.2,1.6358,75.2481,5546.563,2.083
1991,453963.47,27406.482,104546.277,61808.676,66447.844,23.031,13.616,0.407,5498.088,1.6051,75.3884,5455.581,2.293
1992,455897.194,27300.989,103817.255,61176.55,65662.75,22.774,13.419,0.443,5399.924,1.5723,75.7113,5360.848,2.758
1993,457590.704,27219.117,103191.708,60619.113,64840.989,22.55,13.246,0.299,5248.074,1.5275,75.8018,5213.222,1.847
1994,459091.747,26925.418,102444.028,60080.488,64004.968,22.314,13.086,0.356,5114.375,1.4901,76.1698,5082.748,2.516
1995,460187.201,26447.515,101644.474,59619.758,63309.16,22.088,12.957,0.121,5009.086,1.4629,76.3129,4980.439,0.551
1996,460960.288,25935.521,100841.356,59251.573,62679.253,21.877,12.853,0.214,5013.568,1.4696,76.6102,4986.399,1.381
1997,461886.014,25498.464,100031.549,58921.272,62112.024,21.657,12.756,0.187,4992.18,1.4701,76.9678,4967.029,1.049
1998,462385.992,25124.32,98951.748,58466.513,61476.197,21.402,12.646,0.03,4937.723,1.4614,77.1517,4913.869,-0.357
1999,463091.2,24883.546,97888.417,58040.124,60832.487,21.141,12.534,0.275,4893.837,1.4633,77.3556,4871.371,2.214
2000,464426.666,24778.881,97086.608,57764.291,60459.133,20.905,12.438,0.301,4937.573,1.4842,77.7083,4915.459,2.218
2001,465901.599,24687.654,96329,57488.306,60201.926,20.676,12.338,0.333,4856.122,1.4674,78.025,4835.25,2.628
